game_date	Home_Team	Away_Team
2021-01-23	Minnesota Whitecaps	Boston Pride
2021-01-23	Buffalo Beauts	Connecticut Whale
2021-01-23	Metropolitan Riveters	Toronto Six
2021-01-24	Boston Pride	Buffalo Beauts
2021-01-24	Connecticut Whale	Metropolitan Riveters
2021-01-24	Toronto Six	Minnesota Whitecaps
2021-01-26	Toronto Six	Boston Pride
2021-01-26	Metropolitan Riveters	Minnesota Whitecaps
2021-01-27	Connecticut Whale	Boston Pride
2021-01-27	Buffalo Beauts	Toronto Six
2021-01-30	Buffalo Beauts	Boston Pride
2021-01-30	Toronto Six	Minnesota Whitecaps
2021-01-31	Boston Pride	Buffalo Beauts
2021-01-31	Toronto Six	Connecticut Whale
2021-02-01	Buffalo Beauts	Boston Pride
